id,name,domain_type,tld_managers
domain_name_download,"download","generic","dot Support Limited"
domain_name_drive,"drive","generic","Charleston Road Registry Inc."
domain_name_dtv,"dtv","generic","Dish DBS Corporation"
domain_name_dubai,"dubai","generic","Dubai Smart Government Department"
domain_name_duck,"duck","generic","Not assigned"
domain_name_dunlop,"dunlop","generic","The Goodyear Tire & Rubber Company"
domain_name_duns,"duns","generic","Not assigned"
domain_name_dupont,"dupont","generic","DuPont Specialty Products USA, LLC"
domain_name_durban,"durban","generic","ZA Central Registry NPC trading as ZA Central Registry"
domain_name_dvag,"dvag","generic","Deutsche Vermögensberatung Aktiengesellschaft DVAG"
domain_name_dvr,"dvr","generic","Hughes Satellite Systems Corporation"
domain_name_dz,"dz","country-code","CERIST"
domain_name_earth,"earth","generic","Interlink Systems Innovation Institute K.K."
domain_name_eat,"eat","generic","Charleston Road Registry Inc."
domain_name_ec,"ec","country-code","ECUADORDOMAIN S.A."
domain_name_eco,"eco","generic","Big Room Inc."
domain_name_edeka,"edeka","generic","EDEKA Verband kaufmännischer Genossenschaften e.V."
domain_name_edu,"edu","sponsored","EDUCAUSE"
domain_name_education,"education","generic","Binky Moon, LLC"
domain_name_ee,"ee","country-code","Eesti Interneti Sihtasutus (EIS)"
domain_name_eg,"eg","country-code","Egyptian Universities Network (EUN) Supreme Council of Universities"
domain_name_eh,"eh","country-code","Not assigned"
domain_name_email,"email","generic","Binky Moon, LLC"
domain_name_emerck,"emerck","generic","Merck KGaA"
domain_name_energy,"energy","generic","Binky Moon, LLC"
domain_name_engineer,"engineer","generic","Dog Beach, LLC"
domain_name_engineering,"engineering","generic","Binky Moon, LLC"
domain_name_enterprises,"enterprises","generic","Binky Moon, LLC"
domain_name_epost,"epost","generic","Not assigned"
domain_name_epson,"epson","generic","Seiko Epson Corporation"
domain_name_equipment,"equipment","generic","Binky Moon, LLC"
domain_name_er,"er","country-code","Eritrea Telecommunication Services Corporation (EriTel)"
domain_name_ericsson,"ericsson","generic","Telefonaktiebolaget L M Ericsson"
domain_name_erni,"erni","generic","ERNI Group Holding AG"
domain_name_es,"es","country-code","Red.es"
domain_name_esq,"esq","generic","Charleston Road Registry Inc."
domain_name_estate,"estate","generic","Binky Moon, LLC"
domain_name_esurance,"esurance","generic","Not assigned"
domain_name_et,"et","country-code","Ethio telecom"
domain_name_etisalat,"etisalat","generic","Emirates Telecommunications Corporation (trading as Etisalat)"
domain_name_eu,"eu","country-code","EURid vzw/asbl"
domain_name_eurovision,"eurovision","generic","European Broadcasting Union (EBU)"
domain_name_eus,"eus","generic","Puntueus Fundazioa"
domain_name_events,"events","generic","Binky Moon, LLC"
domain_name_everbank,"everbank","generic","Not assigned"
domain_name_exchange,"exchange","generic","Binky Moon, LLC"
domain_name_expert,"expert","generic","Binky Moon, LLC"
domain_name_exposed,"exposed","generic","Binky Moon, LLC"
domain_name_express,"express","generic","Binky Moon, LLC"
domain_name_extraspace,"extraspace","generic","Extra Space Storage LLC"
domain_name_fage,"fage","generic","Fage International S.A."
domain_name_fail,"fail","generic","Binky Moon, LLC"
domain_name_fairwinds,"fairwinds","generic","FairWinds Partners, LLC"
domain_name_faith,"faith","generic","dot Faith Limited"
domain_name_family,"family","generic","Dog Beach, LLC"
domain_name_fan,"fan","generic","Dog Beach, LLC"
domain_name_fans,"fans","generic","ZDNS International Limited"
domain_name_farm,"farm","generic","Binky Moon, LLC"
domain_name_farmers,"farmers","generic","Farmers Insurance Exchange"
domain_name_fashion,"fashion","generic","Registry Services, LLC"
domain_name_fast,"fast","generic","Amazon Registry Services, Inc."
domain_name_fedex,"fedex","generic","Federal Express Corporation"
domain_name_feedback,"feedback","generic","Top Level Spectrum, Inc."
domain_name_ferrari,"ferrari","generic","Fiat Chrysler Automobiles N.V."
domain_name_ferrero,"ferrero","generic","Ferrero Trading Lux S.A."
domain_name_fi,"fi","country-code","Finnish Transport and Communications Agency Traficom"
domain_name_fiat,"fiat","generic","Fiat Chrysler Automobiles N.V."
domain_name_fidelity,"fidelity","generic","Fidelity Brokerage Services LLC"
domain_name_fido,"fido","generic","Rogers Communications Canada Inc."
domain_name_film,"film","generic","Motion Picture Domain Registry Pty Ltd"
domain_name_final,"final","generic","Núcleo de Informação e Coordenação do Ponto BR - NIC.br"
domain_name_finance,"finance","generic","Binky Moon, LLC"
domain_name_financial,"financial","generic","Binky Moon, LLC"
domain_name_fire,"fire","generic","Amazon Registry Services, Inc."
domain_name_firestone,"firestone","generic","Bridgestone Licensing Services, Inc."
domain_name_firmdale,"firmdale","generic","Firmdale Holdings Limited"
domain_name_fish,"fish","generic","Binky Moon, LLC"
domain_name_fishing,"fishing","generic","Registry Services, LLC"
domain_name_fit,"fit","generic","Registry Services, LLC"
domain_name_fitness,"fitness","generic","Binky Moon, LLC"
domain_name_fj,"fj","country-code","The University of the South Pacific IT Services"
domain_name_fk,"fk","country-code","Falkland Islands Government"
domain_name_flickr,"flickr","generic","Flickr, Inc."
domain_name_flights,"flights","generic","Binky Moon, LLC"
domain_name_flir,"flir","generic","FLIR Systems, Inc."
domain_name_florist,"florist","generic","Binky Moon, LLC"
domain_name_flowers,"flowers","generic","XYZ.COM LLC"
domain_name_flsmidth,"flsmidth","generic","Not assigned"
domain_name_fly,"fly","generic","Charleston Road Registry Inc."
domain_name_fm,"fm","country-code","FSM Telecommunications Corporation"
domain_name_fo,"fo","country-code","FO Council"
